stringency	P-Value	Accuracy	sensitivity	specificity	true-partials
100	0.0017	0.429	0.500000	0.250000	0.500000
99	0.0019	0.429	0.500000	0.250000	0.500000
98	0.0020	0.429	0.500000	0.250000	0.500000
97	0.0022	0.429	0.500000	0.250000	0.500000
96	0.0024	0.429	0.500000	0.250000	0.500000
95	0.0026	0.429	0.500000	0.250000	0.500000
94	0.0028	0.429	0.500000	0.250000	0.500000
93	0.0030	0.429	0.500000	0.250000	0.500000
92	0.0033	0.429	0.500000	0.250000	0.500000
91	0.0035	0.429	0.500000	0.250000	0.500000
90	0.0038	0.464	0.500000	0.375000	0.500000
89	0.0042	0.464	0.500000	0.375000	0.500000
88	0.0045	0.464	0.500000	0.375000	0.500000
87	0.0049	0.464	0.500000	0.375000	0.500000
86	0.0053	0.464	0.500000	0.375000	0.500000
85	0.0058	0.500	0.583333	0.375000	0.500000
84	0.0062	0.500	0.583333	0.375000	0.500000
83	0.0068	0.500	0.583333	0.375000	0.500000
82	0.0073	0.536	0.583333	0.500000	0.500000
81	0.0079	0.536	0.583333	0.500000	0.500000
80	0.0086	0.536	0.583333	0.500000	0.500000
79	0.0092	0.536	0.583333	0.500000	0.500000
78	0.0100	0.536	0.583333	0.500000	0.500000
77	0.0108	0.536	0.583333	0.500000	0.500000
76	0.0116	0.536	0.583333	0.500000	0.500000
75	0.0126	0.536	0.583333	0.500000	0.500000
74	0.0135	0.536	0.583333	0.500000	0.500000
73	0.0146	0.571	0.666667	0.500000	0.500000
72	0.0157	0.571	0.666667	0.500000	0.500000
71	0.0169	0.571	0.666667	0.500000	0.500000
70	0.0182	0.607	0.666667	0.625000	0.500000
69	0.0195	0.607	0.666667	0.625000	0.500000
68	0.0210	0.607	0.666667	0.625000	0.500000
67	0.0226	0.643	0.750000	0.625000	0.500000
66	0.0241	0.643	0.750000	0.625000	0.500000
65	0.0259	0.643	0.750000	0.625000	0.500000
64	0.0277	0.643	0.750000	0.625000	0.500000
63	0.0296	0.643	0.750000	0.625000	0.500000
62	0.0317	0.643	0.750000	0.625000	0.500000
61	0.0339	0.643	0.750000	0.625000	0.500000
60	0.0362	0.643	0.750000	0.625000	0.500000
59	0.0386	0.643	0.750000	0.625000	0.500000
58	0.0412	0.643	0.750000	0.625000	0.500000
57	0.0438	0.643	0.750000	0.625000	0.500000
56	0.0467	0.643	0.750000	0.625000	0.500000
55	0.0497	0.679	0.750000	0.750000	0.500000
54	0.0528	0.679	0.750000	0.750000	0.500000
53	0.0561	0.679	0.750000	0.750000	0.500000
52	0.0595	0.679	0.750000	0.750000	0.500000
51	0.0632	0.679	0.750000	0.750000	0.500000
50	0.0669	0.679	0.750000	0.750000	0.500000
49	0.0709	0.679	0.750000	0.750000	0.500000
48	0.0751	0.679	0.750000	0.750000	0.500000
47	0.0794	0.679	0.750000	0.750000	0.500000
46	0.0839	0.679	0.750000	0.750000	0.500000
45	0.0886	0.679	0.750000	0.750000	0.500000
44	0.0935	0.679	0.750000	0.750000	0.500000
43	0.0986	0.679	0.750000	0.750000	0.500000
42	0.1039	0.679	0.750000	0.750000	0.500000
41	0.1094	0.679	0.750000	0.750000	0.500000
40	0.1151	0.679	0.750000	0.750000	0.500000
39	0.1210	0.679	0.750000	0.750000	0.500000
38	0.1271	0.679	0.750000	0.750000	0.500000
37	0.1335	0.679	0.750000	0.750000	0.500000
36	0.1400	0.679	0.750000	0.750000	0.500000
35	0.1468	0.679	0.750000	0.750000	0.500000
34	0.1538	0.679	0.750000	0.750000	0.500000
33	0.1610	0.679	0.750000	0.750000	0.500000
32	0.1684	0.679	0.750000	0.750000	0.500000
31	0.1761	0.679	0.750000	0.750000	0.500000
30	0.1839	0.679	0.750000	0.750000	0.500000
29	0.1920	0.679	0.750000	0.750000	0.500000
28	0.2003	0.679	0.750000	0.750000	0.500000
27	0.2088	0.679	0.750000	0.750000	0.500000
26	0.2175	0.679	0.750000	0.750000	0.500000
25	0.2264	0.679	0.750000	0.750000	0.500000
24	0.2355	0.714	0.833333	0.750000	0.500000
23	0.2449	0.750	0.916667	0.750000	0.500000
22	0.2544	0.750	0.916667	0.750000	0.500000
21	0.2641	0.750	0.916667	0.750000	0.500000
20	0.2740	0.750	0.916667	0.750000	0.500000
19	0.2841	0.750	0.916667	0.750000	0.500000
18	0.2943	0.750	0.916667	0.750000	0.500000
17	0.3047	0.750	0.916667	0.750000	0.500000
16	0.3153	0.750	0.916667	0.750000	0.500000
15	0.3260	0.750	0.916667	0.750000	0.500000
14	0.3369	0.750	0.916667	0.750000	0.500000
13	0.3479	0.750	0.916667	0.750000	0.500000
12	0.3591	0.750	0.916667	0.750000	0.500000
11	0.3703	0.750	0.916667	0.750000	0.500000
10	0.3817	0.750	0.916667	0.750000	0.500000
9	0.3932	0.786	1.000000	0.750000	0.500000
8	0.4048	0.786	1.000000	0.750000	0.500000
7	0.4165	0.786	1.000000	0.750000	0.500000
6	0.4282	0.786	1.000000	0.750000	0.500000
5	0.4400	0.786	1.000000	0.750000	0.500000
4	0.4518	0.786	1.000000	0.750000	0.500000
3	0.4637	0.821	1.000000	0.750000	0.625000
2	0.4757	0.821	1.000000	0.750000	0.625000
1	0.4876	0.893	1.000000	0.875000	0.750000
0	0.4996	0.929	1.000000	1.000000	0.750000
